TOP.6144e472.0007cdfe	START
TOP.6144ece1.000af4c5	user_options->veracrypt_pim_stop	485
TOP.6144ece1.000af4c5	user_options->version	0
TOP.6144ece1.000af4c5	user_options->workload_profile	2
TOP.6144ece1.000af4c5	user_options->brain_client	0
TOP.6144ece1.000af4c5	user_options->brain_client_features	2
TOP.6144ece1.000af4c5	user_options->brain_server	0
TOP.6144ece1.000af4c5	user_options->brain_server_timer	300
TOP.6144ece1.000af4c5	user_options->brain_port	6863
TOP.6144ece1.000af4c5	user_options->brain_session	0
TOP.6144ece1.000af4c5	hashes->hashfile	D:\Desktop\Cyber-Oracle\src\venv\source_code\central_monitor\config_files\NTLM.hashes
TOP.6144ece1.000af4c5	hashes->hashlist_mode	5
TOP.6144ece1.000af4c5	hashes->hashlist_format	0
TOP.6144ece1.000af4c5	hashes->hashes_cnt	0
TOP.6144ece1.000af4c5	hashes->digests_cnt	3
TOP.6144ece1.000af4c5	hashes->digests_done	1
TOP.6144ece1.000af4c5	hashes->salts_cnt	1
TOP.6144ece1.000af4c5	hashes->salts_done	0
TOP.6144ece1.000af4c5	SUB.6144ece6.000189de	START
TOP.6144ece1.000af4c5	SUB.6144ece6.000189de	mask_ctx->mask	?a
TOP.6144ece1.000af4c5	SUB.6144ece6.000189de	runtime_start	1631907047
TOP.6144ece1.000af4c5	SUB.6144ece6.000189de	runtime_stop	1631907047
TOP.6144ece1.000af4c5	SUB.6144ece6.000189de	status-after-work	5
TOP.6144ece1.000af4c5	SUB.6144ece6.000189de	STOP
TOP.6144ece1.000af4c5	SUB.6144ece7.000738c8	START
TOP.6144ece1.000af4c5	SUB.6144ece7.000738c8	mask_ctx->mask	?a?a
TOP.6144ece1.000af4c5	SUB.6144ece7.000738c8	runtime_start	1631907048
TOP.6144ece1.000af4c5	SUB.6144ece7.000738c8	runtime_stop	1631907048
TOP.6144ece1.000af4c5	SUB.6144ece7.000738c8	status-after-work	5
TOP.6144ece1.000af4c5	SUB.6144ece7.000738c8	STOP
TOP.6144ece1.000af4c5	SUB.6144ece8.0006c91c	START
TOP.6144ece1.000af4c5	SUB.6144ece8.0006c91c	mask_ctx->mask	?a?a?a
TOP.6144ece1.000af4c5	SUB.6144ece8.0006c91c	runtime_start	1631907049
TOP.6144ece1.000af4c5	SUB.6144ece8.0006c91c	runtime_stop	1631907049
TOP.6144ece1.000af4c5	SUB.6144ece8.0006c91c	status-after-work	5
TOP.6144ece1.000af4c5	SUB.6144ece8.0006c91c	STOP
TOP.6144ece1.000af4c5	SUB.6144ece9.0006d451	START
TOP.6144ece1.000af4c5	SUB.6144ece9.0006d451	mask_ctx->mask	?a?a?a?a
TOP.6144ece1.000af4c5	SUB.6144ece9.0006d451	runtime_start	1631907050
TOP.6144ece1.000af4c5	SUB.6144ece9.0006d451	runtime_stop	1631907050
TOP.6144ece1.000af4c5	SUB.6144ece9.0006d451	status-after-work	5
TOP.6144ece1.000af4c5	SUB.6144ece9.0006d451	STOP
TOP.6144ece1.000af4c5	SUB.6144ecea.000758d4	START
TOP.6144ece1.000af4c5	SUB.6144ecea.000758d4	mask_ctx->mask	?a?a?a?a?a
TOP.6144ece1.000af4c5	SUB.6144ecea.000758d4	runtime_start	1631907051
TOP.6144ece1.000af4c5	SUB.6144ecea.000758d4	runtime_stop	1631907054
TOP.6144ece1.000af4c5	SUB.6144ecea.000758d4	status-after-work	5
TOP.6144ece1.000af4c5	SUB.6144ecea.000758d4	STOP
TOP.6144ece1.000af4c5	proc_start	1631907041
TOP.6144ece1.000af4c5	proc_stop	1631907056
TOP.6144ece1.000af4c5	STOP
TOP.6144ee9e.0006037f	START
TOP.6144ee9e.0006037f	folder_config->cwd	D:\Desktop\Cyber-Oracle\src\venv\source_code\central_monitor\static\app_utilities\hashcat
TOP.6144ee9e.0006037f	folder_config->install_dir	.
TOP.6144ee9e.0006037f	folder_config->profile_dir	.
TOP.6144ee9e.0006037f	folder_config->session_dir	.
TOP.6144ee9e.0006037f	folder_config->shared_dir	.
TOP.6144ee9e.0006037f	user_options->encoding_from	utf-8
TOP.6144ee9e.0006037f	user_options->encoding_to	utf-8
TOP.6144ee9e.0006037f	user_options->rule_buf_l	:
TOP.6144ee9e.0006037f	user_options->rule_buf_r	:
TOP.6144ee9e.0006037f	user_options->session	hashcat
TOP.6144ee9e.0006037f	user_options->separator	:
TOP.6144ee9e.0006037f	user_options->limit	0
TOP.6144ee9e.0006037f	user_options->skip	0
TOP.6144ee9e.0006037f	user_options->attack_mode	3
TOP.6144ee9e.0006037f	user_options->benchmark	0
TOP.6144ee9e.0006037f	user_options->benchmark_all	0
TOP.6144ee9e.0006037f	user_options->bitmap_max	18
